lefthand,righthand,leftleg,rightleg,leftshouder,rightshouder
178.83763935057425,178.22215373484815,178.40208756046889,174.20385239650093,5.568804371037772,5.020610177600469
170.89300154367905,165.25013481105404,178.45841720353485,179.57299153440857,6.705731836255271,0.7960685597895834
172.004967548491,174.88518893694578,174.4056556514611,177.82413252964895,6.61267810962045,0.14412835861703466
167.18554539531183,162.52405844920926,175.34137343533214,179.92251829427292,5.609546400240982,0.3786274872308436
158.8462067289841,168.42487287204406,174.00834407655472,176.62151765126944,7.228822196157905,3.995866916125744
163.30647260747074,171.28530946440907,175.09809099030355,177.294711881329,7.578963104729084,3.7055408044310894
171.68905378589847,176.163739308277,175.09637011181098,179.9805581031616,9.758027092101639,1.1528071221252312
166.31179936650895,175.71202055803116,174.69163990998595,177.21511381792718,9.991076805396094,2.395525866002605
169.18092545546844,175.09174114381457,174.0802433087471,179.00890677211729,12.958841881946546,2.0598309141112376
166.46082142808157,173.0518979497639,174.9119166462829,179.86786484435942,11.202856030499357,2.019731071901114
169.93093064882925,172.86144195174256,173.9915616131807,179.82367586671108,7.723045005484684,1.7884673369829847
169.68962828743324,178.6439755129552,174.37927267161734,179.68036535266972,10.601612253574737,3.75341090571052
163.78684131984286,167.69933824827862,174.4255426043347,176.3363457374801,13.072172883171426,8.251049501181308
156.6417862388639,161.9348473991784,174.07010826717192,176.00598349968536,11.890847032283624,8.00149161182626
163.9844127690079,177.1173983055844,174.68870841594278,179.32063487531735,12.817954524526487,5.6798844938618265
151.8416739011292,157.11562474985604,175.3201543909576,177.33375558860018,12.767170402153837,9.20032667549309
148.80853074942593,163.23612456105005,174.41398344208193,179.19991850364863,11.4500476459642,9.160120855715089
164.68763912463936,168.57588033162756,172.9074414647617,179.50067306264432,9.010150141544715,1.9667992583092766
158.02709910384547,162.63165173902462,175.25620057851484,176.65343589807415,12.605037970630201,8.691080134194335
169.86878185966322,172.46023213425738,177.2072415582944,179.50210475471778,8.867581612522478,1.7954444216584902
164.4463429813744,165.9065786199023,175.43581235323512,177.05829607970077,12.503738604834464,9.342465205471179
169.13462464046245,179.21495946647383,174.91920993116173,176.090644840572,7.724709366255092,4.378979826078359
159.52160357121275,166.77840370818137,176.43491621313044,177.78117537413783,10.348348734489832,8.117863073577821
172.66873002522573,170.9936503422546,177.17480877947847,177.50133222876815,6.450900160411977,2.2398919703896527
159.67314396188755,156.5583903461586,175.69067080270028,177.31149667353412,11.395170823863864,10.813161703296128
154.81852403228467,158.87863350986436,175.00422875810315,179.04922424618786,12.214326753287187,11.313100885050218
164.75473606369584,174.62759863854967,175.15306962736523,178.45936497988666,10.747663625059566,6.536874532065878
160.61579943239207,173.78516587436772,175.60046782507166,179.69321351867654,12.631278365578265,7.067780563314636
165.4449821093821,176.8265445905641,176.52947877829797,177.96073183894362,10.556633030297784,6.060567865763556
167.381582930149,172.7862223951948,174.95557729502966,178.04754164747803,12.096057957692551,6.304945774318824
166.72688545840785,179.4079119174546,174.02055289030943,177.7130739687426,12.12122128672375,5.8576082919274395
169.77681795080662,168.35947776030022,175.73491758580005,178.11810935682576,9.670395894509255,9.796435784940808
161.26874049600238,172.85552026044502,175.94248725229832,178.17161182721827,12.909805453755313,6.161102085037681
165.86771092686604,179.27960057321258,175.5534381700287,179.3417506999863,9.430235807070114,3.4684089033909387
164.06983469096943,177.65988419688873,174.91811441329102,178.73778876109316,12.623977007089714,5.48525189989963
163.73949519846622,175.6988791356038,175.83614346806635,177.6153913640416,11.753316316646167,4.97475126972132
170.98595332440274,176.99400514150275,177.51276058771504,178.5981734253377,9.309379050269323,5.05678071280063
157.72781331272563,158.51214151876187,172.90891134561627,177.46811301581155,12.45907131037124,9.36372318524636
162.7509047642788,175.86706873539637,177.3549221279255,179.93134431819593,10.516597963204077,0.6159432619240605
170.81732184425678,166.1360033669744,177.05365602025182,176.61611386790847,2.425943202540333,0.9145637700576267
173.82490074209588,173.673382611906,177.50962229849858,179.95328614630216,7.454528244053628,0.8942454367246601
171.35335137599827,174.18525844417712,174.6176515584662,178.96709675942964,8.871780978093627,3.0973229144663716
166.57064642013592,163.86035709637343,173.42001174595552,178.893924583289,8.122346514436673,8.138408486646474
156.594141982769,179.18873991379235,175.9186761542516,177.79386053354875,11.91993343654025,8.642318345751981
148.0855546502793,153.78500001193987,174.6437986195209,174.93407029112143,11.276508691978263,14.524375441252635
144.74261688752702,163.83212838741858,177.56784972794222,174.31306356453928,12.745726994666153,17.440604022206397
162.9052686626365,165.34061670403963,178.3119633170096,179.35229003821743,10.25628305232746,17.74407252069101
162.09946980801337,145.33510370050357,172.6463437927784,177.72610957412988,6.851986886363387,11.99051417948379
163.5317597575185,168.52076248002496,176.9457907308151,179.3421599095353,14.392913883996815,18.744077087721255
171.4820604537116,171.61229636603264,178.00054701583613,179.42831691126696,18.371075321698747,18.23235905579414
