DATE & TIME,POSE NAME,OUTPUT/RESULTS
2022-06-27 19:48:40.578555,trikonasana,you are not doing properly
2022-06-27 19:50:00.790766,trikonasana,you are not doing properly
2022-06-27 19:52:59.460063,trikonasana,you are not doing properly
2022-06-27 19:54:29.371939,trikonasana,you are not doing properly
2022-06-27 19:57:32.365156,trikonasana,good
2022-06-27 20:36:36.280627,trikonasana,you are not doing properly
2022-06-27 20:39:18.201140,ARDHA UTTASANA,need to bend forward
2022-06-27 20:53:07.094053,ARDHA UTTASANA,need to bend forward
2022-06-27 21:02:25.755143,LUNGES,lower your hep
2022-06-28 11:53:44.829065,VYAGHRASANA,you are being stationary
2022-06-28 11:57:43.720448,VYAGHRASANA,you are being stationary
